ID,Tipo,Data,Responsável,Fornecedor,Quem Recebeu,Quem Cadastrou,Local,Material,Tipo Material,Qtd Pacotes,Unids. por Pacote,Qtd Total,Valor Unit.,Valor Total,Obs,Status,Motivo Exclusão,Data Exclusão
1776513085569,Saída,2026-04-18 08:50,MURILLO,,,,QUARTA PARADA,GIPSOFILA,ORNAMENTAÇÃO,5,6,30,0,0,,ATIVO,,
1776513118848,Saída,2026-04-18 08:51,MURILLO,,,,QUARTA PARADA,TANGO,ORNAMENTAÇÃO,20,6,120,0,0,,ATIVO,,
1776513154233,Entrada,2026-04-18 08:51,MURILLO,,,,QUARTA PARADA,MARIANA,ORNAMENTAÇÃO,28,6,168,0,0,,ATIVO,,
1776513198009,Saída,2026-04-18 08:52,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTREMOS ROXO,VENDA LOJA,0,0,4,0,0,,ATIVO,,
1776513211977,Saída,2026-04-18 08:53,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO BRANCO,VENDA LOJA,0,0,4,0,0,,ATIVO,,
1776513243555,Saída,2026-04-18 08:53,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO AMARELO,VENDA LOJA,0,0,1,0,0,,ATIVO,,
1776513784562,Saída,2026-04-18 08:54,MURILLO,,,,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,1,20,20,0,0,,ATIVO,,
1776691598146,Saída,2026-04-18 09:03,MURILLO,,,,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,36,20,720,0,0,,ATIVO,,
1776691652575,Saída,2026-04-20 10:26,MURILLO,,,,QUARTA PARADA,ROSA CHAMPANHE,VENDA LOJA,3,20,60,0,0,,ATIVO,,
1776691696709,Saída,2026-04-20 10:27,MURILLO,,,,QUARTA PARADA,ROSAS PINK,ORNAMENTAÇÃO,5,20,100,0,0,,ATIVO,,
1776691752831,Saída,2026-04-20 10:28,MURILLO,,,,QUARTA PARADA,ROSAS VERMELHAS,ORNAMENTAÇÃO,8,20,160,0,0,,ATIVO,,
1776691793101,Saída,2026-04-20 10:29,MURILLO,,,,QUARTA PARADA,MARIANA,ORNAMENTAÇÃO,16,6,96,0,0,,ATIVO,,
1776691838867,Saída,2026-04-20 10:29,MURILLO,,,,QUARTA PARADA,TANGO,ORNAMENTAÇÃO,86,6,516,0,0,,ATIVO,,
1776691935540,Entrada,2026-04-20 10:30,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO AMARELO,VENDA LOJA,0,0,2,0,0,,ATIVO,,
1776691960432,Entrada,2026-04-20 10:32,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO BRANCO,VENDA LOJA,0,0,2,0,0,,ATIVO,,
1776691983727,Entrada,2026-04-20 10:32,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO VERMELHO,VENDA LOJA,0,0,3,0,0,,ATIVO,,
1776692008488,Entrada,2026-04-20 10:33,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTREMOS ROXO,VENDA LOJA,0,0,1,0,0,,ATIVO,,
1776692032867,Saída,2026-04-20 10:33,MURILLO,,,,QUARTA PARADA,ROSA CHAMPANHE,VENDA LOJA,2,20,40,0,0,,ATIVO,,
1776716345167,Entrada,2026-04-20 10:33,MURILLO,,,,QUARTA PARADA,CRISANTREMOS BRANCOS,ORNAMENTAÇÃO,25,20,500,0,0,,ATIVO,,
1776716370983,Saída,2026-04-20 17:19,MURILLO,,,,QUARTA PARADA,TANGO,ORNAMENTAÇÃO,10,6,60,0,0,,ATIVO,,
